Pump_ID,Gram_Panchayat,Cluster,Pump_Type,Recency_Raw,Tariff_Freq_6M,OM_Reserve_Raw,Energy_Discharge_Ratio_Raw,Daily_Runtime_Hrs,Public_Utility_Priority,CGWB_Aquifer_Drop_m,Ground_Truth_Breakdown
PUMP-JJM-0161,Gram Panchayat #126,Cluster A - North Plains,Handpump Motor Assist 3HP,4 days,4,"₹ 31,602",105.02 L/kWh,11.7,0,0.23,0
PUMP-JJM-0162,Gram Panchayat #127,Cluster A - North Plains,Grid Electric 10HP,108,3,"₹ 10,184",160.86 L/kWh,10.3,0,0.76,0
PUMP-JJM-0163,Gram Panchayat #128,Cluster B - Southern Hills,Grid Electric 10HP,89 days,1,"₹ 27,394",61.88 L/kWh,7.0,1,1.17,1
PUMP-JJM-0164,Gram Panchayat #129,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,49 days,2,"₹ 11,849",109.45 L/kWh,6.9,0,0.71,0
PUMP-JJM-0165,Gram Panchayat #130,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,29 days,2,"₹ 19,440",95.02 L/kWh,7.1,0,0.74,0
PUMP-JJM-0166,Gram Panchayat #131,Cluster C - Eastern Delta,Solar Submersible 5HP,51 days,6,"₹ 23,118",58.55 L/kWh,11.6,1,0.31,0
PUMP-JJM-0167,Gram Panchayat #132,Cluster B - Southern Hills,Grid Electric 10HP,62,1,"₹ 13,742",123.10 L/kWh,7.8,0,0.1,0
PUMP-JJM-0168,Gram Panchayat #133,Cluster B - Southern Hills,Solar Submersible 5HP,30 days,0,"₹ 7,066",85.44 L/kWh,6.4,1,0.1,0
PUMP-JJM-0169,Gram Panchayat #134,Cluster A - North Plains,Grid Electric 10HP,84 days,3,"₹ 31,790",75.61 L/kWh,5.2,0,0.05,0
PUMP-JJM-0170,Gram Panchayat #135,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,117 days,1,"₹ 27,886",62.33 L/kWh,10.9,0,2.27,1
PUMP-JJM-0171,Gram Panchayat #136,Cluster D - Western Arid Zone,Grid Electric 10HP,38 days,0,"₹ 1,107",95.76 L/kWh,11.3,0,0.55,0
PUMP-JJM-0172,Gram Panchayat #137,Cluster A - North Plains,Dual Solar-Grid 7.5HP,15 days,2,"₹ 11,149",155.38 L/kWh,9.4,0,1.14,0
PUMP-JJM-0173,Gram Panchayat #138,Cluster B - Southern Hills,Grid Electric 10HP,23 days,4,"₹ 42,359",162.32,7.4,0,1.0,0
PUMP-JJM-0174,Gram Panchayat #139,Cluster A - North Plains,Dual Solar-Grid 7.5HP,50 days,1,"₹ 29,777",70.49,9.7,1,0.32,0
PUMP-JJM-0175,Gram Panchayat #140,Cluster A - North Plains,Dual Solar-Grid 7.5HP,16 days,3,"₹ 20,606",138.63 L/kWh,11.3,1,1.32,0
PUMP-JJM-0176,Gram Panchayat #141,Cluster D - Western Arid Zone,Grid Electric 10HP,62 days,1,"₹ 30,317",154.93 L/kWh,9.6,0,0.48,0
PUMP-JJM-0177,Gram Panchayat #142,Cluster B - Southern Hills,Grid Electric 10HP,101 days,0,"₹ 34,939",58.43 L/kWh,3.2,0,0.06,1
PUMP-JJM-0178,Gram Panchayat #143,Cluster A - North Plains,Handpump Motor Assist 3HP,88 days,1,"₹ 38,717",127.93 L/kWh,7.1,1,0.53,0
PUMP-JJM-0179,Gram Panchayat #144,Cluster A - North Plains,Solar Submersible 5HP,72 days,3,"₹ 44,590",129.64 L/kWh,6.3,1,1.23,0
PUMP-JJM-0180,Gram Panchayat #100,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,8 days,0,"₹ 31,437",57.45 L/kWh,2.8,0,1.32,0
PUMP-JJM-0181,Gram Panchayat #101,Cluster A - North Plains,Grid Electric 10HP,117 days,3,"₹ 25,118",189.06 L/kWh,10.8,0,1.77,0
PUMP-JJM-0182,Gram Panchayat #102,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,29 days,6,₹ 727,153.63 L/kWh,9.7,1,0.56,0
PUMP-JJM-0183,Gram Panchayat #103,Cluster B - Southern Hills,Grid Electric 10HP,36,1,"₹ 7,895",160.37 L/kWh,8.3,1,1.98,0
PUMP-JJM-0184,Gram Panchayat #104,Cluster B - Southern Hills,Solar Submersible 5HP,87 days,5,"₹ 3,690",120.34 L/kWh,4.8,0,0.52,0
PUMP-JJM-0185,Gram Panchayat #105,Cluster B - Southern Hills,Grid Electric 10HP,118 days,5,"₹ 38,255",90.18 L/kWh,8.9,0,0.32,0
PUMP-JJM-0186,Gram Panchayat #106,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,76 days,5,"₹ 11,977",152.89 L/kWh,8.4,0,0.62,0
PUMP-JJM-0187,Gram Panchayat #107,Cluster B - Southern Hills,Handpump Motor Assist 3HP,20 days,2,"₹ 25,171",127.55 L/kWh,4.8,0,1.75,0
PUMP-JJM-0188,Gram Panchayat #108,Cluster A - North Plains,Handpump Motor Assist 3HP,72 days,4,9287,149.79 L/kWh,6.2,0,0.36,0
PUMP-JJM-0189,Gram Panchayat #109,Cluster B - Southern Hills,Handpump Motor Assist 3HP,25 days,0,"₹ 18,093",75.81 L/kWh,2.9,0,1.47,0
PUMP-JJM-0190,Gram Panchayat #110,Cluster D - Western Arid Zone,Grid Electric 10HP,117 days,0,"₹ 14,381",143.27 L/kWh,11.4,1,0.11,1
PUMP-JJM-0191,Gram Panchayat #111,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,31,4,"₹ 21,577",115.47 L/kWh,7.6,0,0.27,0
PUMP-JJM-0192,Gram Panchayat #112,Cluster B - Southern Hills,Grid Electric 10HP,108,2,"₹ 13,812",76.18 L/kWh,6.0,0,0.74,1
PUMP-JJM-0193,Gram Panchayat #113,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,93 days,3,"₹ 19,845",128.02 L/kWh,6.1,1,0.62,0
PUMP-JJM-0194,Gram Panchayat #114,Cluster D - Western Arid Zone,Grid Electric 10HP,95 days,3,"₹ 30,700",135.61 L/kWh,4.1,1,0.17,0
PUMP-JJM-0195,Gram Panchayat #115,Cluster B - Southern Hills,Grid Electric 10HP,8,4,"₹ 2,716",117.30 L/kWh,10.3,0,0.01,0
PUMP-JJM-0196,Gram Panchayat #116,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,59,2,"₹ 4,461",98.34 L/kWh,8.4,1,0.86,0
PUMP-JJM-0197,Gram Panchayat #117,Cluster B - Southern Hills,Solar Submersible 5HP,3 days,4,"₹ 18,505",81.95 L/kWh,7.3,1,0.51,0
PUMP-JJM-0198,Gram Panchayat #118,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,80 days,4,"₹ 17,042",103.59 L/kWh,10.2,0,0.46,0
PUMP-JJM-0199,Gram Panchayat #119,Cluster D - Western Arid Zone,Solar Submersible 5HP,39 days,5,"₹ 5,783",70.66,9.7,0,0.43,0
PUMP-JJM-0200,Gram Panchayat #120,Cluster A - North Plains,Solar Submersible 5HP,109 days,3,"₹ 42,764",53.09 L/kWh,10.0,0,1.76,1
PUMP-JJM-0201,Gram Panchayat #121,Cluster A - North Plains,Grid Electric 10HP,73 days,3,"₹ 18,266",123.17 L/kWh,11.3,1,0.75,0
PUMP-JJM-0202,Gram Panchayat #122,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,76 days,1,"₹ 26,602",113.97 L/kWh,11.3,0,0.75,0
PUMP-JJM-0203,Gram Panchayat #123,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,89 days,5,"₹ 5,639",15.28 L/kWh,3.0,0,1.64,1
PUMP-JJM-0204,Gram Panchayat #124,Cluster B - Southern Hills,Handpump Motor Assist 3HP,101,3,"₹ 32,652",109.53 L/kWh,4.7,0,0.42,0
PUMP-JJM-0205,Gram Panchayat #125,Cluster C - Eastern Delta,Solar Submersible 5HP,92,0,"₹ 5,876",106.14 L/kWh,9.9,0,0.44,1
PUMP-JJM-0206,Gram Panchayat #126,Cluster D - Western Arid Zone,Solar Submersible 5HP,98,2,"₹ 7,199",144.00,3.8,0,0.54,0
PUMP-JJM-0207,Gram Panchayat #127,Cluster B - Southern Hills,Grid Electric 10HP,77 days,6,"₹ 21,761",113.61 L/kWh,6.4,1,1.16,0
PUMP-JJM-0208,Gram Panchayat #128,Cluster D - Western Arid Zone,Solar Submersible 5HP,35 days,3,"₹ 10,063",105.83 L/kWh,3.1,0,0.49,0
PUMP-JJM-0209,Gram Panchayat #129,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,64 days,4,"₹ 40,914",115.59 L/kWh,5.4,1,0.36,0
PUMP-JJM-0210,Gram Panchayat #130,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,84 days,4,"₹ 9,421",125.68 L/kWh,5.4,0,1.07,0
PUMP-JJM-0211,Gram Panchayat #131,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,95 days,5,"₹ 41,977",64.23 L/kWh,4.8,0,1.53,0
PUMP-JJM-0212,Gram Panchayat #132,Cluster B - Southern Hills,Handpump Motor Assist 3HP,70 days,1,"₹ 36,551",112.59,2.8,1,2.58,0
PUMP-JJM-0213,Gram Panchayat #133,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,109,6,"₹ 27,313",101.08 L/kWh,5.4,0,0.15,0
PUMP-JJM-0214,Gram Panchayat #134,Cluster A - North Plains,Dual Solar-Grid 7.5HP,52 days,4,"₹ 33,701",93.04 L/kWh,11.3,1,0.49,0
PUMP-JJM-0215,Gram Panchayat #135,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,118 days,0,"₹ 7,667",116.09,5.9,0,0.04,1
PUMP-JJM-0216,Gram Panchayat #136,Cluster B - Southern Hills,Handpump Motor Assist 3HP,34 days,1,"₹ 33,967",59.12 L/kWh,9.6,0,1.05,0
PUMP-JJM-0217,Gram Panchayat #137,Cluster A - North Plains,Grid Electric 10HP,89 days,4,"₹ 10,379",105.61 L/kWh,3.5,0,2.94,0
PUMP-JJM-0218,Gram Panchayat #138,Cluster C - Eastern Delta,Solar Submersible 5HP,67 days,3,"₹ 23,326",116.46 L/kWh,7.0,0,1.07,0
PUMP-JJM-0219,Gram Panchayat #139,Cluster B - Southern Hills,Dual Solar-Grid 7.5HP,109 days,2,"₹ 42,965",158.55 L/kWh,11.3,1,0.65,0
PUMP-JJM-0220,Gram Panchayat #140,Cluster B - Southern Hills,Handpump Motor Assist 3HP,52 days,5,"₹ 12,588",149.84 L/kWh,4.3,1,0.45,0
PUMP-JJM-0221,Gram Panchayat #141,Cluster A - North Plains,Dual Solar-Grid 7.5HP,27 days,2,"₹ 4,600",54.52 L/kWh,7.6,0,0.2,0
PUMP-JJM-0222,Gram Panchayat #142,Cluster D - Western Arid Zone,Grid Electric 10HP,41 days,4,"₹ 25,969",80.69 L/kWh,8.3,0,0.38,0
PUMP-JJM-0223,Gram Panchayat #143,Cluster B - Southern Hills,Handpump Motor Assist 3HP,79 days,4,6054,95.74 L/kWh,4.8,0,0.42,0
PUMP-JJM-0224,Gram Panchayat #144,Cluster B - Southern Hills,Grid Electric 10HP,24 days,3,42148,83.22 L/kWh,7.6,1,2.4,0
PUMP-JJM-0225,Gram Panchayat #100,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,58 days,4,"₹ 4,013",167.22 L/kWh,7.1,0,0.44,0
PUMP-JJM-0226,Gram Panchayat #101,Cluster A - North Plains,Dual Solar-Grid 7.5HP,63 days,1,"₹ 5,917",45.52 L/kWh,7.9,1,0.22,1
PUMP-JJM-0227,Gram Panchayat #102,Cluster C - Eastern Delta,Solar Submersible 5HP,73 days,5,"₹ 32,960",93.67 L/kWh,3.6,1,1.56,0
PUMP-JJM-0228,Gram Panchayat #103,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,55 days,0,"₹ 43,339",104.73 L/kWh,9.6,0,6.55,0
PUMP-JJM-0229,Gram Panchayat #104,Cluster D - Western Arid Zone,Grid Electric 10HP,16 days,6,"₹ 16,028",124.28 L/kWh,9.0,1,0.85,0
PUMP-JJM-0230,Gram Panchayat #105,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,104 days,0,"₹ 37,860",165.44 L/kWh,5.8,0,0.7,0
PUMP-JJM-0231,Gram Panchayat #106,Cluster B - Southern Hills,Grid Electric 10HP,116 days,5,"₹ 6,740",148.38 L/kWh,6.4,0,0.29,0
PUMP-JJM-0232,Gram Panchayat #107,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,98 days,6,"₹ 44,817",153.86 L/kWh,6.2,0,0.9,0
PUMP-JJM-0233,Gram Panchayat #108,Cluster A - North Plains,Solar Submersible 5HP,12 days,3,"₹ 34,291",109.93 L/kWh,10.8,0,0.6,0
PUMP-JJM-0234,Gram Panchayat #109,Cluster B - Southern Hills,Handpump Motor Assist 3HP,46 days,6,"₹ 4,650",56.08 L/kWh,10.1,0,3.1,0
PUMP-JJM-0235,Gram Panchayat #110,Cluster D - Western Arid Zone,Solar Submersible 5HP,74 days,1,"₹ 37,602",147.01 L/kWh,11.0,1,0.04,0
PUMP-JJM-0236,Gram Panchayat #111,Cluster C - Eastern Delta,Grid Electric 10HP,1 days,3,"₹ 13,759",60.66,12.0,1,1.92,0
PUMP-JJM-0237,Gram Panchayat #112,Cluster B - Southern Hills,Handpump Motor Assist 3HP,47 days,2,"₹ 5,901",57.52,4.1,0,0.33,0
PUMP-JJM-0238,Gram Panchayat #113,Cluster A - North Plains,Dual Solar-Grid 7.5HP,62 days,0,"₹ 9,196",164.61 L/kWh,8.1,0,0.53,0
PUMP-JJM-0239,Gram Panchayat #114,Cluster C - Eastern Delta,Grid Electric 10HP,17 days,3,"₹ 5,141",112.00 L/kWh,10.2,0,0.41,0
PUMP-JJM-0240,Gram Panchayat #115,Cluster B - Southern Hills,Handpump Motor Assist 3HP,83 days,5,"₹ 9,862",125.01 L/kWh,3.1,0,0.85,0
PUMP-JJM-0241,Gram Panchayat #116,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,118 days,3,"₹ 40,875",83.07 L/kWh,3.3,0,1.26,0
PUMP-JJM-0242,Gram Panchayat #117,Cluster C - Eastern Delta,Solar Submersible 5HP,36 days,5,"₹ 6,021",46.04 L/kWh,4.9,0,1.15,0
PUMP-JJM-0243,Gram Panchayat #118,Cluster B - Southern Hills,Handpump Motor Assist 3HP,67 days,4,"₹ 33,892",123.12 L/kWh,8.6,1,1.42,0
PUMP-JJM-0244,Gram Panchayat #119,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,10 days,4,"₹ 1,290",142.34 L/kWh,11.9,1,0.13,0
PUMP-JJM-0245,Gram Panchayat #120,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,99 days,0,"₹ 1,593",105.02 L/kWh,4.5,1,2.67,1
PUMP-JJM-0246,Gram Panchayat #121,Cluster A - North Plains,Dual Solar-Grid 7.5HP,90,3,"₹ 5,901",106.96 L/kWh,8.6,0,0.15,0
PUMP-JJM-0247,Gram Panchayat #122,Cluster D - Western Arid Zone,Grid Electric 10HP,20,4,21913,71.60 L/kWh,10.4,1,0.06,0
PUMP-JJM-0248,Gram Panchayat #123,Cluster B - Southern Hills,Solar Submersible 5HP,59,4,40400,141.47,3.0,1,0.97,0
PUMP-JJM-0249,Gram Panchayat #124,Cluster C - Eastern Delta,Solar Submersible 5HP,64 days,2,34775,45.30 L/kWh,5.0,0,1.25,0
PUMP-JJM-0250,Gram Panchayat #125,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,35 days,4,4685,102.97 L/kWh,5.0,1,0.89,0
PUMP-JJM-0251,Gram Panchayat #126,Cluster A - North Plains,Solar Submersible 5HP,22 days,2,10809,109.48,8.0,1,0.23,0
PUMP-JJM-0252,Gram Panchayat #127,Cluster D - Western Arid Zone,Grid Electric 10HP,47 days,3,"₹ 10,335",126.30 L/kWh,4.2,1,0.03,0
PUMP-JJM-0253,Gram Panchayat #128,Cluster A - North Plains,Handpump Motor Assist 3HP,35,6,"₹ 5,604",94.10 L/kWh,8.9,0,0.23,0
PUMP-JJM-0254,Gram Panchayat #129,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,109 days,2,"₹ 21,949",102.33 L/kWh,3.3,0,0.41,0
PUMP-JJM-0255,Gram Panchayat #130,Cluster A - North Plains,Grid Electric 10HP,64 days,6,"₹ 13,307",105.16 L/kWh,10.1,0,2.42,0
PUMP-JJM-0256,Gram Panchayat #131,Cluster C - Eastern Delta,Solar Submersible 5HP,2 days,2,₹ 595,66.25 L/kWh,9.7,0,1.21,0
PUMP-JJM-0257,Gram Panchayat #132,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,8 days,1,18838,175.81,11.0,0,1.09,0
PUMP-JJM-0258,Gram Panchayat #133,Cluster B - Southern Hills,Grid Electric 10HP,18 days,5,"₹ 26,344",153.54 L/kWh,3.2,0,0.51,0
PUMP-JJM-0259,Gram Panchayat #134,Cluster A - North Plains,Grid Electric 10HP,51 days,5,"₹ 21,881",98.44 L/kWh,3.2,0,1.36,0
PUMP-JJM-0260,Gram Panchayat #135,Cluster C - Eastern Delta,Solar Submersible 5HP,16,4,"₹ 23,980",135.37 L/kWh,11.7,0,0.33,0
PUMP-JJM-0261,Gram Panchayat #136,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,91 days,5,"₹ 40,038",174.42 L/kWh,5.6,0,0.26,0
PUMP-JJM-0262,Gram Panchayat #137,Cluster A - North Plains,Handpump Motor Assist 3HP,23 days,0,"₹ 27,002",126.68 L/kWh,10.6,0,0.72,0
PUMP-JJM-0263,Gram Panchayat #138,Cluster C - Eastern Delta,Solar Submersible 5HP,8,6,15067,154.42 L/kWh,6.0,0,0.93,0
PUMP-JJM-0264,Gram Panchayat #139,Cluster A - North Plains,Solar Submersible 5HP,57 days,6,8940,157.73 L/kWh,3.4,1,1.49,0
PUMP-JJM-0265,Gram Panchayat #140,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,56 days,6,26386,75.63 L/kWh,6.6,0,2.15,0
PUMP-JJM-0266,Gram Panchayat #141,Cluster A - North Plains,Solar Submersible 5HP,79 days,1,42920,110.84 L/kWh,5.3,0,0.72,0
PUMP-JJM-0267,Gram Panchayat #142,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,114 days,6,"₹ 34,959",110.60 L/kWh,7.7,0,0.43,0
PUMP-JJM-0268,Gram Panchayat #143,Cluster A - North Plains,Dual Solar-Grid 7.5HP,65,2,"₹ 25,952",200.00 L/kWh,5.1,0,0.82,0
PUMP-JJM-0269,Gram Panchayat #144,Cluster A - North Plains,Grid Electric 10HP,99 days,4,"₹ 15,754",125.86 L/kWh,8.7,0,1.52,0
PUMP-JJM-0270,Gram Panchayat #100,Cluster C - Eastern Delta,Solar Submersible 5HP,108 days,6,"₹ 11,884",107.38 L/kWh,4.2,0,1.48,0
PUMP-JJM-0271,Gram Panchayat #101,Cluster A - North Plains,Solar Submersible 5HP,19,4,"₹ 12,836",143.07,11.7,0,0.17,0
PUMP-JJM-0272,Gram Panchayat #102,Cluster B - Southern Hills,Dual Solar-Grid 7.5HP,62,0,22240,55.41 L/kWh,11.2,0,0.13,1
PUMP-JJM-0273,Gram Panchayat #103,Cluster D - Western Arid Zone,Solar Submersible 5HP,19 days,6,"₹ 7,769",149.59 L/kWh,11.6,0,2.56,0
PUMP-JJM-0274,Gram Panchayat #104,Cluster C - Eastern Delta,Grid Electric 10HP,94 days,3,"₹ 42,394",52.89 L/kWh,11.6,0,0.17,0
PUMP-JJM-0275,Gram Panchayat #105,Cluster A - North Plains,Grid Electric 10HP,94 days,5,"₹ 19,801",149.39 L/kWh,11.5,1,0.45,0
PUMP-JJM-0276,Gram Panchayat #106,Cluster A - North Plains,Grid Electric 10HP,29 days,5,"₹ 37,563",150.57 L/kWh,3.5,0,0.36,0
PUMP-JJM-0277,Gram Panchayat #107,Cluster A - North Plains,Dual Solar-Grid 7.5HP,12 days,6,44410,63.13,6.7,0,0.26,0
PUMP-JJM-0278,Gram Panchayat #108,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,50 days,3,28002,53.99 L/kWh,11.7,1,0.61,0
PUMP-JJM-0279,Gram Panchayat #109,Cluster A - North Plains,Dual Solar-Grid 7.5HP,111 days,4,43161,111.30 L/kWh,6.8,1,0.03,0
PUMP-JJM-0280,Gram Panchayat #110,Cluster A - North Plains,Dual Solar-Grid 7.5HP,114 days,3,"₹ 11,045",85.01 L/kWh,9.5,0,2.06,1
PUMP-JJM-0281,Gram Panchayat #111,Cluster B - Southern Hills,Handpump Motor Assist 3HP,4 days,3,"₹ 43,336",147.42 L/kWh,4.0,0,0.21,0
PUMP-JJM-0282,Gram Panchayat #112,Cluster D - Western Arid Zone,Grid Electric 10HP,34,5,18949,173.26,5.3,0,0.45,0
PUMP-JJM-0283,Gram Panchayat #113,Cluster A - North Plains,Handpump Motor Assist 3HP,106 days,5,"₹ 41,465",91.12 L/kWh,2.7,0,0.31,0
PUMP-JJM-0284,Gram Panchayat #114,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,63 days,5,17867,96.24 L/kWh,3.4,0,0.18,0
PUMP-JJM-0285,Gram Panchayat #115,Cluster D - Western Arid Zone,Grid Electric 10HP,34 days,1,"₹ 18,100",91.57 L/kWh,9.1,0,0.99,0
PUMP-JJM-0286,Gram Panchayat #116,Cluster D - Western Arid Zone,Solar Submersible 5HP,54 days,4,"₹ 31,618",102.13 L/kWh,7.9,0,0.32,0
PUMP-JJM-0287,Gram Panchayat #117,Cluster B - Southern Hills,Grid Electric 10HP,87,4,10163,152.86 L/kWh,4.1,1,3.22,0
PUMP-JJM-0288,Gram Panchayat #118,Cluster A - North Plains,Solar Submersible 5HP,26 days,6,"₹ 41,605",150.39 L/kWh,3.9,0,0.35,0
PUMP-JJM-0289,Gram Panchayat #119,Cluster A - North Plains,Handpump Motor Assist 3HP,36 days,4,"₹ 30,525",114.79 L/kWh,9.2,0,1.37,0
PUMP-JJM-0290,Gram Panchayat #120,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,13 days,0,"₹ 37,376",107.25 L/kWh,9.9,1,1.82,0
PUMP-JJM-0291,Gram Panchayat #121,Cluster C - Eastern Delta,Grid Electric 10HP,61,0,"₹ 11,785",106.90 L/kWh,8.3,1,0.04,0
PUMP-JJM-0292,Gram Panchayat #122,Cluster D - Western Arid Zone,Solar Submersible 5HP,48 days,0,"₹ 22,642",129.26 L/kWh,10.3,0,0.3,0
PUMP-JJM-0293,Gram Panchayat #123,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,96 days,3,"₹ 21,528",105.58 L/kWh,8.6,0,0.21,0
PUMP-JJM-0294,Gram Panchayat #124,Cluster A - North Plains,Grid Electric 10HP,66 days,6,"₹ 10,918",146.08 L/kWh,3.1,1,0.46,0
PUMP-JJM-0295,Gram Panchayat #125,Cluster D - Western Arid Zone,Solar Submersible 5HP,32 days,0,"₹ 30,413",141.43 L/kWh,4.4,0,0.56,0
PUMP-JJM-0296,Gram Panchayat #126,Cluster C - Eastern Delta,Solar Submersible 5HP,58 days,1,"₹ 31,602",120.34 L/kWh,8.1,0,0.16,0
PUMP-JJM-0297,Gram Panchayat #127,Cluster A - North Plains,Solar Submersible 5HP,74 days,6,14545,141.50 L/kWh,8.9,0,0.47,0
PUMP-JJM-0298,Gram Panchayat #128,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,103 days,0,"₹ 15,164",70.48 L/kWh,4.9,1,0.33,1
PUMP-JJM-0299,Gram Panchayat #129,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,28 days,3,20301,81.17,6.3,0,0.64,0
PUMP-JJM-0300,Gram Panchayat #130,Cluster C - Eastern Delta,Grid Electric 10HP,36 days,5,"₹ 21,808",51.44 L/kWh,10.7,0,1.12,0
PUMP-JJM-0301,Gram Panchayat #131,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,104 days,6,"₹ 39,823",84.69 L/kWh,3.8,0,0.62,0
PUMP-JJM-0302,Gram Panchayat #132,Cluster D - Western Arid Zone,Dual Solar-Grid 7.5HP,75 days,5,"₹ 37,989",127.41 L/kWh,10.3,0,1.12,0
PUMP-JJM-0303,Gram Panchayat #133,Cluster B - Southern Hills,Dual Solar-Grid 7.5HP,113 days,4,"₹ 12,370",99.27 L/kWh,9.5,1,0.74,0
PUMP-JJM-0304,Gram Panchayat #134,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,112 days,2,"₹ 28,056",148.00 L/kWh,10.0,0,0.27,0
PUMP-JJM-0305,Gram Panchayat #135,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,75,4,"₹ 41,175",176.22 L/kWh,7.3,1,0.43,0
PUMP-JJM-0306,Gram Panchayat #136,Cluster B - Southern Hills,Dual Solar-Grid 7.5HP,26 days,2,"₹ 27,316",141.78,11.9,1,3.88,0
PUMP-JJM-0307,Gram Panchayat #137,Cluster B - Southern Hills,Handpump Motor Assist 3HP,43 days,5,"₹ 12,088",105.31 L/kWh,6.8,0,1.34,0
PUMP-JJM-0308,Gram Panchayat #138,Cluster A - North Plains,Grid Electric 10HP,56 days,5,"₹ 28,641",121.15 L/kWh,6.3,1,0.44,0
PUMP-JJM-0309,Gram Panchayat #139,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,97 days,6,"₹ 35,301",129.19 L/kWh,8.5,0,1.06,0
PUMP-JJM-0310,Gram Panchayat #140,Cluster C - Eastern Delta,Handpump Motor Assist 3HP,22 days,0,"₹ 3,496",158.98 L/kWh,5.3,0,1.17,0
PUMP-JJM-0311,Gram Panchayat #141,Cluster B - Southern Hills,Grid Electric 10HP,116 days,3,24043,110.02 L/kWh,11.1,1,0.02,0
PUMP-JJM-0312,Gram Panchayat #142,Cluster A - North Plains,Solar Submersible 5HP,16 days,2,"₹ 43,133",88.99,10.0,0,0.92,0
PUMP-JJM-0313,Gram Panchayat #143,Cluster A - North Plains,Dual Solar-Grid 7.5HP,89 days,0,27813,93.11 L/kWh,4.9,1,0.21,0
PUMP-JJM-0314,Gram Panchayat #144,Cluster A - North Plains,Dual Solar-Grid 7.5HP,80 days,4,9489,116.16 L/kWh,6.5,1,0.64,0
PUMP-JJM-0315,Gram Panchayat #100,Cluster D - Western Arid Zone,Grid Electric 10HP,26 days,6,"₹ 17,735",156.12 L/kWh,5.9,0,0.16,0
PUMP-JJM-0316,Gram Panchayat #101,Cluster B - Southern Hills,Solar Submersible 5HP,2 days,5,6332,27.95 L/kWh,11.1,1,1.0,1
PUMP-JJM-0317,Gram Panchayat #102,Cluster B - Southern Hills,Solar Submersible 5HP,116 days,2,"₹ 42,727",122.37 L/kWh,5.3,0,0.09,0
PUMP-JJM-0318,Gram Panchayat #103,Cluster B - Southern Hills,Grid Electric 10HP,55 days,5,"₹ 8,095",200.00 L/kWh,3.4,1,0.04,0
PUMP-JJM-0319,Gram Panchayat #104,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,35 days,5,"₹ 6,591",87.67 L/kWh,3.6,0,0.55,0
PUMP-JJM-0320,Gram Panchayat #105,Cluster D - Western Arid Zone,Handpump Motor Assist 3HP,15 days,1,"₹ 4,343",133.01 L/kWh,11.8,1,0.1,0
PUMP-JJM-0321,Gram Panchayat #106,Cluster C - Eastern Delta,Solar Submersible 5HP,4 days,6,"₹ 9,062",69.72 L/kWh,10.9,0,0.06,0
PUMP-JJM-0322,Gram Panchayat #107,Cluster A - North Plains,Handpump Motor Assist 3HP,74 days,5,"₹ 37,528",114.30 L/kWh,4.6,1,1.86,0
PUMP-JJM-0323,Gram Panchayat #108,Cluster B - Southern Hills,Handpump Motor Assist 3HP,87 days,5,"₹ 25,723",148.95,11.0,0,0.01,0
